method,geomean_ipc,traces
Sin prebúsqueda,1.7003670264737636,12
SPP+PPF,1.6613652595105837,12
Pythia,1.831847295875069,12
uMAMA,1.859014088798038,12
MLP,1.8543353721199396,12
LLM,1.763271806137105,12
