summary_level,bucket,config,l1_prefetcher,l2_prefetcher,traces,geomean_ipc,mean_ipc,geomean_speedup_vs_matching_no_l2,geomean_speedup_vs_l1_no_l2_no,total_l2_pf_issued,total_l2_pf_useful,total_l2_pf_accuracy
SUITE,SPEC17,1C.fullBW.l1_no.l2_umama,no,umama,91,1.636698,1.941743,1.308153,1.308153,156727314,12932682,0.082517
SUITE,ai-ml,1C.fullBW.l1_no.l2_umama,no,umama,78,1.83759,2.126386,1.296488,1.296488,303147409,39680714,0.130896
SUITE,gtrace_v2/arizona,1C.fullBW.l1_no.l2_umama,no,umama,6,1.448719,1.675317,1.347179,1.347179,3220298,245839,0.07634
SUITE,gtrace_v2/bravo,1C.fullBW.l1_no.l2_umama,no,umama,3,0.306922,0.3083,1.007974,1.007974,2659031,144108,0.054196
SUITE,gtrace_v2/charlie,1C.fullBW.l1_no.l2_umama,no,umama,22,0.824467,0.839741,1.144299,1.144299,16435642,1072181,0.065235
SUITE,gtrace_v2/delta,1C.fullBW.l1_no.l2_umama,no,umama,4,0.773631,0.802275,1.225911,1.225911,6188913,646816,0.104512
SUITE,gtrace_v2/merced,1C.fullBW.l1_no.l2_umama,no,umama,89,0.593099,0.609098,1.080677,1.080677,79190538,3938141,0.04973
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_no.l2_umama,no,umama,17,0.439872,0.451612,0.987159,0.987159,12627690,617273,0.048882
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_no.l2_umama,no,umama,24,0.338428,0.342308,0.985628,0.985628,18335682,925388,0.050469
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_no.l2_umama,no,umama,18,0.464237,0.47255,1.033795,1.033795,19375385,1552716,0.080139
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_no.l2_umama,no,umama,40,0.557366,0.599068,1.078733,1.078733,30189583,2801731,0.092805
SUITE,gtrace_v2/tango,1C.fullBW.l1_no.l2_umama,no,umama,51,0.552641,0.561127,0.970553,0.970553,22191806,1135177,0.051153
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_no.l2_umama,no,umama,2,0.517928,0.52225,1.265024,1.265024,2693369,162432,0.060308
SUITE,gtrace_v2/yankee,1C.fullBW.l1_no.l2_umama,no,umama,83,0.505853,0.513082,1.011109,1.011109,59790320,3434842,0.057448
