method,source,traces,geo_ipc,speedup,precision,coverage,issued,useful,l2_load_miss
No L2,final_60m80m_test,12,1.584286999906772,1.0,,0.0,0.0,0.0,652297.0
PPF,final_60m80m_test,12,1.5403899645991295,0.9722922454642211,0.03927019360320297,-0.007120989365273794,809749.0,31799.0,656942.0
Pythia,final_60m80m_test,12,1.7052162257080685,1.0763303781501792,0.09195089664016907,0.25087498486119053,13430527.0,1234949.0,488652.0
uMAMA,final_60m80m_test,12,1.732360144439462,1.0934635861693012,0.052773800291099245,0.2641082206418242,26778496.0,1413203.0,480020.0
MLP,final_60m80m_test,12,1.7285880912387348,1.0910826708421228,0.5252782125549298,0.23864742594247712,2788785.0,1464888.0,496628.0
LLM,final_60m80m_test,12,1.6405056823444362,1.0354851630045392,0.24757280397400513,0.048312348516090065,2099645.0,519815.0,620783.0
