cycles,elapsed_s,instructions,ipc,l2_load_access,l2_load_miss,l2_pf_accuracy,l2_pf_issued,l2_pf_requested,l2_pf_useful,l2_pf_useless,l2_prefetch_access,l2_prefetch_miss,l2_rfo_access,l2_rfo_miss,l2_total_access,l2_total_miss,log,ml_l2_requests,mode,policy,returncode,state_dump,threshold,trace,trace_id
28610138,1991.4,20000001,0.6991,24187,20006,0.206862,307751,309103,63662,194540,2835178,387265,93,12,2877794,417559,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,499410,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz/states.csv,-2,traces/Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz,Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz
12232123,549.9,20000001,1.635,646349,24743,0.868100,179606,191127,155916,11756,794441,207741,1202,0,1444368,232829,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,402006,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz/states.csv,-2,traces/Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz
8252863,415.8,20000000,2.423,16793,3451,0.712645,202203,205887,144099,41723,631956,246034,850,3,655924,251254,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,391268,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_602.gcc_s-734B.champsimtrace.xz/states.csv,-2,traces/SPEC17/602.gcc_s-734B.champsimtrace.xz,SPEC17_602.gcc_s-734B.champsimtrace.xz
9456025,590.9,20000001,2.115,15906,648,0.727927,358636,360492,261061,23935,783024,329178,50,44,799181,329903,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,679748,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_623.xalancbmk_s-165B.champsimtrace.xz/states.csv,-2,traces/SPEC17/623.xalancbmk_s-165B.champsimtrace.xz,SPEC17_623.xalancbmk_s-165B.champsimtrace.xz
7043874,188.2,20000000,2.839,23625,2365,0.118889,11086,14848,1318,410,183839,11565,10314,1778,233565,15774,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,24935,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_627.cam4_s-573B.champsimtrace.xz/states.csv,-2,traces/SPEC17/627.cam4_s-573B.champsimtrace.xz,SPEC17_627.cam4_s-573B.champsimtrace.xz
6368743,448.5,20000004,3.14,110729,1870,0.935865,163264,191333,152793,1316,693154,240419,308,0,980362,242648,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,357541,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz/states.csv,-2,traces/SPEC17/649.fotonik3d_s-1176B.champsimtrace.xz,SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz
7221656,130.3,20000003,2.769,0,0,0.986888,8237,8237,8129,0,17228,8475,0,0,17244,8491,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/train_20M_20M_mlp_thr_m2.out,16526,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/SPEC17_657.xz_s-56B.champsimtrace.xz/states.csv,-2,traces/SPEC17/657.xz_s-56B.champsimtrace.xz,SPEC17_657.xz_s-56B.champsimtrace.xz
9514455,1810.7,20000004,2.102,449156,68862,0.648517,427978,716163,277551,75076,1375922,734296,36861,35013,1902668,839638,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,1452914,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz/states.csv,-2,traces/ai-ml/bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz,ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz
8637242,1073.5,20000004,2.316,126318,43572,0.279323,667805,827739,186533,356305,1898531,1795301,2359,2020,2031677,1842345,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,1786151,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/ai-ml_llama2.c-stories15M.1.champsimtrace.gz/states.csv,-2,traces/ai-ml/llama2.c-stories15M.1.champsimtrace.gz,ai-ml_llama2.c-stories15M.1.champsimtrace.gz
6644334,406.0,20000006,3.01,452971,34556,0.871055,115716,127486,100795,2276,457700,164342,3822,3288,921809,202491,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/ai-ml_whisper_trace_1.champsimtrace.gz/train_20M_20M_mlp_thr_m2.out,280111,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/ai-ml_whisper_trace_1.champsimtrace.gz/states.csv,-2,traces/ai-ml/whisper_trace_1.champsimtrace.gz,ai-ml_whisper_trace_1.champsimtrace.gz
13440688,299.4,20000002,1.488,24820,8989,0.559141,64202,64790,35898,22453,1013379,69900,30373,25121,1103592,106128,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/train_20M_20M_mlp_thr_m2.out,109872,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/gtrace_v2_arizona_arizona_0000.champsim.gz/states.csv,-2,traces/gtrace_v2/arizona/arizona_0000.champsim.gz,gtrace_v2_arizona_arizona_0000.champsim.gz
38145538,707.2,20000001,0.5243,366896,159481,0.169950,242730,243690,41252,150714,330448,216775,71797,50386,930368,452424,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/train_20M_20M_mlp_thr_m2.out,338367,train_20M_20M,mlp,0,results/mlp_lightgbm/dagger_mlp_20260515_lite/iter04/collect/gtrace_v2_yankee_yankee_0010.champsim.gz/states.csv,-2,traces/gtrace_v2/yankee/yankee_0010.champsim.gz,gtrace_v2_yankee_yankee_0010.champsim.gz
