source_iteration,source_iteration_num,source_attempt,source_result_set,traces,geomean_ipc,mean_ipc,total_l2_pf_issued,total_l2_pf_useful,total_l2_pf_accuracy,total_prefetch_requests,total_no_prefetch_decisions
iter_042,42,attempt_03,iter_042/attempt_03,32,1.172329,1.502156,7682108,2474901,0.322164,16043325,47880596
iter_043,43,attempt_01,iter_043/attempt_01,6,1.775675,1.9273,2189832,668750,0.305389,4359114,6905599
iter_043,43,attempt_02,iter_043/attempt_02,5,2.480423,2.5922,433120,183741,0.424227,832220,1693697
iter_043,43,attempt_04,iter_043/attempt_04,32,1.172517,1.502316,7644131,2472184,0.323409,15986056,48058412
iter_044,44,attempt_02,iter_044/attempt_02,8,0.930803,1.169588,2025556,766266,0.378299,4001792,22709800
iter_044,44,attempt_03,iter_044/attempt_03,8,0.931272,1.169887,2029055,768737,0.378865,4191449,22597146
iter_044,44,attempt_05,iter_044/attempt_05,4,0.356916,0.4268,849092,341453,0.402139,1905598,16813617
iter_044,44,attempt_06,iter_044/attempt_06,4,1.015979,1.0611,769090,306229,0.398171,2258475,4120921
iter_044,44,attempt_07,iter_044/attempt_07,4,1.668158,1.828125,217246,49407,0.227424,598077,11871335
iter_044,44,attempt_08,iter_044/attempt_08,4,0.869465,1.107025,187286,122871,0.656061,425578,3306192
iter_044,44,attempt_09,iter_044/attempt_09,4,2.46745,2.48975,867141,362974,0.418587,1835239,1781614
iter_044,44,attempt_10,iter_044/attempt_10,4,2.122022,2.158,1408554,337430,0.239558,2789401,5339893
iter_045,45,attempt_01,iter_045/attempt_01,4,1.816044,2.197375,480046,79719,0.166065,965804,2766370
iter_045,45,attempt_02,iter_045/attempt_02,4,0.730503,0.769825,468463,183841,0.392434,731139,4019707
iter_045,45,merged_all32,iter_045/merged_all32,32,1.175806,1.50475,5246918,1783924,0.339995,11509311,50019649
iter_046,46,attempt_01,iter_046/attempt_01,9,1.005454,1.505033,2055452,672174,0.32702,4052497,23544475
iter_047,47,attempt_01,iter_047/attempt_01,8,1.298005,1.677275,2048672,672549,0.328285,3809600,16163323
iter_048,48,attempt_01,iter_048/attempt_01,8,1.298005,1.677275,2048672,672549,0.328285,3809600,16163323
iter_049,49,attempt_01,iter_049/attempt_01,8,1.298005,1.677275,2048672,672549,0.328285,3809600,16163323
